brand,title,price,instalment/month,owner,mileage,depreciation,registered_date,remaining_coe,coe_years,coe_months
Toyota,Toyota Harrier 2.0 Elegance [My18] (A),138800,1334,1,34968.0,19660,2019-11-07,73,6,1
Jaguar,Jaguar Xf 2.0P 250Ps Rwd,239800,2047,1,9000.0,24347,2022-02-28,105,8,9
Audi,Audi Q5 2.0 Tfsi Qu S Tronic Sport (A),161800,1612,1,39000.0,22837,2019-03-22,70,5,10
Bmw,Bmw 1 Series Hatchback 116D (A),44500,983,3,141000.0,15809,2015-10-19,29,2,5
Honda,Honda Freed Hybrid 1.5 (A),24200,760,3,144000.0,14133,2010-01-25,20,1,8
Mercedes-Benz,Mercedes-Benz Glc-Class Glc63 S Amg 4Matic+ (A),368000,3141,1,39000.0,42735,2019-02-16,91,7,7
Audi,Audi A6 2.0 Tfsi (A),28800,905,1,,16712,2010-01-29,20,1,8
Toyota,Toyota Sienta 1.5 X (A),55800,959,3,108000.0,15924,2016-07-28,38,3,2
Subaru,Subaru Forester 2.0 Xt (A),50800,1122,3,131000.0,17207,2015-10-14,29,2,5
Mercedes-Benz,Mercedes-Benz Glb-Class Glb200 Amg Line Premium 7-Seater (A),223800,1910,1,25000.0,23261,2021-10-15,101,8,5
Mercedes-Benz,Mercedes-Benz Gla-Class Gla180 (A),125800,1143,2,70000.0,17074,2019-11-26,78,6,6
Hyundai,Hyundai Tucson Diesel 2.0 Crdi (A),58800,1299,2,113000.0,18274,2015-07-11,29,2,5
Honda,Honda Vezel Hybrid 2021 E: Hev Z Honda Sensing (A),163800,1398,1,19000.0,18243,2021-10-29,101,8,5
Honda,Honda Vezel 1.5 X (A),94800,911,1,61000.0,14191,2019-09-07,73,6,1
Honda,Honda N-Box L (A),109800,937,1,20000.0,12481,2021-12-16,103,8,7
Honda,Honda Civic 1.5 Vtec Turbo (A),151800,1296,1,6000.0,15079,2022-06-27,109,9,1
Honda,Honda Civic 1.6 Vti (A),99800,878,1,92000.0,13278,2020-02-14,81,6,9
Hyundai,Hyundai Avante 1.6 Elite (A),86800,887,1,13782.0,13656,2019-01-29,68,5,8
Bmw,Bmw 1 Series Hatchback 118I 5Dr (A),72800,842,4,,12215,2013-10-05,59,4,11
Mercedes,Mercedes Benz S500 L Amg Line Premium Exec M-Hybrid,578800,4939,1,2500.0,53577,2022-04-20,107,8,11
Honda,Honda Civic Type-R 2.0 (M),188000,2142,5,,37132,2008-11-17,60,5,0
Bmw,Bmw X2 Sdrive18I M Sport Lite (A),153800,1313,1,17172.0,17429,2020-08-12,90,7,6
Citroen,Citroen Berlingo 1.6A E-Hdi,45800,522,1,68000.0,8906,2018-11-06,60,5,0
Peugeot,Peugeot 3008 1.2 Puretech Eat6 Active (A),71900,899,2,104113.0,14336,2017-11-13,54,4,6
Mercedes-Benz,Mercedes-Benz E-Class Saloon E250 Cgi Elegance,33000,1036,2,92000.0,19427,2010-01-20,20,1,8
Hyundai,Hyundai I45 2.4 (A),28300,747,3,142000.0,13791,2010-05-29,24,2,0
Toyota,Toyota Corolla Altis 1.6 Elegance (A),37800,1084,2,122082.0,16440,2015-03-19,22,1,10
Mercedes-Benz,Mercedes-Benz Cla-Class Cla200 Amg Line Premium Plus (A),188800,1612,1,19636.0,21671,2020-11-13,90,7,6
Volvo,Volvo Xc60 T5 (A),67800,1548,1,58000.0,19890,2015-09-29,28,2,4
Mazda,Mazda 6 Sedan 2.0 Executive (A),92800,973,2,60000.0,14628,2018-11-30,66,5,6
Toyota,Toyota Sienta 1.5 G (A),49900,977,1,129000.0,15552,2016-02-17,33,2,9
Toyota,Toyota Raize 1.0 X (A),118800,1014,1,8000.0,13220,2022-02-28,105,8,9
Toyota,Toyota Noah Hybrid 1.8 X 7-Seater (A),146800,1395,1,57000.0,21280,2019-06-08,74,6,2
Toyota,Toyota Harrier 2.0 Premium Panoramic (A),72800,1315,3,104000.0,18870,2016-05-20,36,3,0
Seat,Seat Ateca 1.4 Tsi Style 8-Speed (A),99800,1137,1,40000.0,16767,2018-05-26,60,5,0
Nissan,Nissan Nv200 1.6 Dx (A),69800,596,1,42000.0,8648,2021-05-14,96,8,0
Mazda,Mazda 3 Hatchback 1.5 Deluxe (A),87800,909,1,51000.0,14033,2018-12-24,67,5,7
Mazda,Mazda 3 Sedan 1.5 Standard (A),69800,832,2,73000.0,12977,2018-09-03,57,4,9
Honda,Honda Vezel 1.5 X (A),90800,916,1,38000.0,14488,2019-08-03,69,5,9
Honda,Honda Vezel Hybrid 1.5 X (A),115800,989,1,32000.0,14128,2020-11-13,90,7,6
Honda,Honda Vezel Hybrid 1.5 X (A),106800,950,3,38000.0,14324,2020-01-15,80,6,8
Honda,Honda Vezel Hybrid 1.5 X Honda Sensing [2018] (A),69800,903,1,154000.0,15511,2017-09-13,52,4,4
Honda,Honda Shuttle 1.5 G (A),92800,925,1,49000.0,14575,2019-03-20,70,5,10
Honda,Honda Fit Hybrid 1.5 (A),88800,844,2,46000.0,13650,2019-07-22,74,6,2
Honda,Honda Cr-V 1.5 Turbo 7-Seater (A),119800,1209,1,59000.0,17953,2019-02-21,69,5,9
Honda,Honda Civic 1.6 Vti (A),100800,926,2,69000.0,13957,2019-05-11,77,6,5
Honda,Honda City 1.5 Sv (A),42800,946,1,93000.0,14798,2015-10-22,29,2,5
Porsche,Porsche Cayman 2.9 Pdk (A),163000,1391,2,157500.0,22283,2010-11-11,87,7,3
Mercedes-Benz,Mercedes-Benz E-Class Saloon E200 Avantgarde (A),137800,1723,1,98000.0,23487,2017-01-12,54,4,6
Lexus,Lexus Rx 200T Turbo,111800,1921,1,155500.0,23331,2016-01-08,38,3,2
Toyota,Toyota Wish 1.8 Elegance Cvt (A),15000,271,2,153000.0,38648,2013-06-28,0,0,0
Volvo,Volvo S80 Diesel D2 (A),37800,1673,1,80000.0,18411,2014-07-30,14,1,2
Toyota,Toyota Rav4 2.0 Premium (A),126800,1152,2,65000.0,16816,2019-11-29,78,6,6
Mazda,Mazda Mazda6 Sedan 2.0 At Standard I4,116800,997,1,33000.0,14065,2020-11-27,90,7,6
Bmw,Bmw X3 Sdrive20I (A) Sunroof,92800,1595,1,93000.0,22646,2016-07-29,38,3,2
Infiniti,Infiniti Q50 2.0T Premium (A),44800,1556,3,,16435,2014-09-12,18,1,6
Audi,Audi A8L 4.0 Tfsi Quattro Tip (A),93800,1213,2,86800.0,21345,2012-10-31,52,4,4
Toyota,Toyota C-Hr 1.2 Turbo Active (A),84800,952,1,72000.0,13801,2018-06-29,61,5,1
Mitsubishi,Mitsubishi Lancer 1.6 Glx (A),11000,616,3,160000.0,11278,2009-05-28,132,11,0
Honda,Honda Vezel 1.5 X (A),42500,939,2,97000.0,15704,2015-10-19,29,2,5
Toyota,Toyota Vios 1.5 E Grade (A),95800,835,1,17000.0,12926,2020-03-26,82,6,10
Toyota,Toyota Corolla Sedan Hybrid 1.8 Ascent Sport (A),129800,1108,1,13000.0,14700,2021-10-09,99,8,3
Lexus,Lexus Rx270 2.7 (A),68800,2062,3,120000.0,23433,2015-02-16,21,1,9
Audi,Audi A3 Sportback 1.4 Tfsi S-Tronic,126800,1082,2,47736.0,15585,2020-09-16,88,7,4
Bmw,Bmw X1 Sdrive18I (A),144800,1236,3,36500.0,16821,2020-09-30,88,7,4
Mazda,Mazda 6 Sedan 2.0 2017 Edition Standard (A),101800,956,1,59000.0,14711,2019-08-14,75,6,3
Hyundai,Hyundai Avante 1.6 S (A),124800,1065,1,12000.0,14112,2022-11-01,103,8,7
Honda,Honda Shuttle Hybrid 1.5 G (A),98800,908,1,49000.0,14297,2019-10-14,77,6,5
Citroen,Citroen Berlingo 1.6A E-Hdi,24800,486,1,,8817,2016-02-15,33,2,9
Toyota,Toyota Dyna 150 150 D (M),17800,788,3,,14600,2004-07-29,14,1,2
Mercedes-Benz,Mercedes-Benz S-Class S320L (A),223800,2753,1,43000.0,33883,2017-12-22,55,4,7
Seat,Seat Leon 5Dr 1.0 Tsi 116 Style Plus 7At,94800,826,1,35000.0,12423,2020-03-17,82,6,10
Bmw,Bmw 7 Series 730Li (A),94800,2605,2,110000.0,23464,2015-04-30,23,1,11
Mercedes,Mercedes Benz E250 Exclusive (R18 Led),157800,1852,1,53000.0,24074,2018-03-27,58,4,10
Subaru,Subaru Forester 2.0I-L Eyesight Awd Cvt (A),76800,945,1,102000.0,15153,2017-12-28,55,4,7
Mercedes-Benz,Mercedes-Benz E-Class Saloon E250 Elegance (A),153800,2778,2,139000.0,487578,2013-08-13,0,0,0
Volkswagen,Volkswagen Passat 1.8 Tsi Dsg (A),129700,1107,1,24000.0,15215,2020-10-29,89,7,5
Toyota,Toyota Corolla Axio 1.5 X (A),58800,609,3,139240.0,10485,2008-12-17,67,5,7
Hyundai,Hyundai Avante 1.6 ‘S’ (A),74900,829,1,72368.0,13207,2018-07-23,62,5,2
Peugeot,Peugeot Partner 1.5 Bluehdi Lwb (A),23800,494,3,126238.0,8925,2015-12-23,31,2,7
Toyota,Toyota Hiace 2.0 Dx Glass Door Van (A),90888,776,1,,9231,2023-02-23,117,9,9
Hino,Hino 300 Diesel 4.0 Xzu710R-Hkmmv3 14Ft [Euro Vi] (M),132800,1134,1,,13511,2023-02-20,117,9,9
Honda,Honda N-Van Petrol 660 Turbo Style Fun Honda Sensing (A),88888,759,1,,8966,2023-03-23,118,9,10
Mercedes-Benz,Mercedes-Benz S-Class S300L (A),100800,861,2,167500.0,12635,2011-05-07,95,7,11
Mercedes-Benz,Mercedes-Benz Gla-Class Gla200 (A),94500,1266,2,63800.0,18411,2017-04-08,50,4,2
Toyota,Toyota Lexus Is300H 4Dr Sedan F-Sport (At)(2Wd),228800,1953,1,16500.0,22700,2022-03-22,106,8,10
Opel,Opel Astra 1.4 Turbo Innovation (A),94900,810,1,21141.0,11923,2020-09-29,88,7,4
Land,Land Rover Defender 110 Hardtop 2.2 Diesel 4Wd Mt,135800,3207,1,,59583,2015-08-14,27,2,3
Mercedes,Mercedes Benz C200 Sport,113800,1524,1,79500.0,21932,2017-12-07,50,4,2
Honda,Honda Civic Crx,178000,1519,9,,23270,1991-06-11,91,7,7
Honda,Honda Civic Sir Ek4,85000,858,4,,14621,1999-02-03,69,5,9
Bmw,Bmw 1 Series Hatchback 116I Luxury (A),94800,809,7,128700.0,11069,2012-02-16,102,8,6
Toyota,Toyota Prius Alpha Hybrid 1.8 7-Seater (A),103800,1088,1,55000.0,16697,2018-12-11,66,5,6
Mitsubishi,Mitsubishi Lancer Ex 1.6 Classic (A),62800,857,1,71000.0,13583,2017-06-29,49,4,1
Mercedes-Benz,Mercedes-Benz Gla-Class Gla180 Urban Edition [2019] (A),139800,1193,1,34000.0,17201,2020-02-09,87,7,3
Kia,Kia Cerato Gt Line 1.6L (A),118800,1014,1,22000.0,13415,2021-07-14,98,8,2
Hyundai,Hyundai Elantra 1.6 Gls (A),66800,701,1,69000.0,10904,2018-11-28,66,5,6
Hyundai,Hyundai Accent 1.4 Cvt (A),77800,664,1,32000.0,10122,2020-04-08,86,7,2
Honda,Honda Vezel 1.5 X (A),94800,911,1,61000.0,14191,2019-09-07,73,6,1
Honda,Honda Odyssey 2.0 E-Hev Absolute 7-Seater (A),202800,1731,1,16000.0,21886,2021-08-16,99,8,3
Honda,Honda Civic 1.6 Vti (A),72800,1012,1,102000.0,15436,2017-05-29,48,4,0
Honda,Honda Jazz 1.5 Vtir Cvt Abs D/Airbag 2Wd,58800,964,2,53463.0,15429,2016-11-10,40,3,4
Kia,Kia Cerato Forte 1.6Sx At Abs D/Ab 2Wd 4Dr,24800,682,3,,12749,2010-04-20,23,1,11
Mitsubishi,Mitsubishi Attrage 1.2A,88300,754,1,21652.0,10770,2021-04-29,95,7,11
Mitsubishi,Mitsubishi Attrage 1.2 Cvt,37800,762,2,69630.0,12925,2016-04-02,32,2,8
Bmw,Bmw 1 Series Hatchback 116I 5Dr Urban (A),29800,1319,3,,16979,2014-11-08,14,1,2
Citroen,Citroen Berlingo 1.5 Bluehdi,31800,534,1,82878.0,9403,2016-09-09,39,3,3
Toyota,Toyota Dyna 150 Diesel 3.0 [Euro Vi] (M),79800,871,1,,14873,2018-06-09,63,5,3
Mercedes,Mercedes Benz Citan 112 6G-Dct,59800,562,2,39674.0,9443,2019-08-21,75,6,3
Mitsubishi,Mitsubishi Canter Feb21Er4Sden,78800,970,1,48622.0,16712,2018-10-01,55,4,7
Toyota,Toyota Hiace High Roof Diesel 3.0 Commuter 14-Seater Bus [Euro Vi] (A),54800,1251,1,,22502,2015-02-10,28,2,4
Nissan,Nissan Nv200 1.5 Panel Van (M),46800,534,1,101708.0,9246,2018-05-16,60,5,0
Honda,Honda Shuttle 1.5 G (A),61800,892,1,97068.0,14892,2017-03-28,46,3,10
Audi,Audi A4 1.8 Tfsi Mu S-Line (A),96800,826,4,184500.0,12133,2011-08-22,95,7,11
Toyota,Toyota Noah Hybrid 1.8 X 7-Seater (A),182800,1560,1,34000.0,21242,2021-08-06,96,8,0
Toyota,Toyota Noah Hybrid 1.8 X 7-Seater (A),138800,1383,1,62000.0,21343,2019-12-03,70,5,10
Toyota,Toyota Camry 2.5 (A),54800,1173,3,95000.0,15478,2015-11-20,30,2,6
Toyota,Toyota Alphard 2.5 S A-Package 7-Seater (A),179800,2212,2,44000.0,34012,2017-12-29,55,4,7
Subaru,Subaru Forester 2.0I-L Eyesight Awd Cvt (A),84800,952,2,64000.0,15150,2018-06-07,61,5,1
Opel,Opel Astra 1.4 St (A),89800,874,1,60000.0,12874,2019-03-06,72,6,0
Mercedes-Benz,Mercedes-Benz Glc-Class Mild Hybrid Glc300 Amg Line 4Matic Premium (A),214800,1871,1,60000.0,25356,2020-03-17,82,6,10
Mercedes-Benz,Mercedes-Benz Cla-Class Cla180 Amg Line (A),169800,1449,1,56000.0,19735,2020-08-19,87,7,3
Mercedes-Benz,Mercedes-Benz Cla-Class Cla180 (A),109800,1251,1,102000.0,18538,2018-07-06,60,5,0
Mercedes-Benz,Mercedes-Benz Cla-Class Cla180 (A),98800,1236,2,77000.0,18835,2017-11-29,54,4,6
Mazda,Mazda 3 Sedan 1.5 Standard (A),65800,810,1,101000.0,13153,2017-12-19,55,4,7
Mazda,Mazda 3 Sedan 1.5 Standard (A),65800,810,1,69000.0,13140,2017-12-15,55,4,7
Hyundai,Hyundai Avante 1.6 S (A),114800,980,1,23000.0,13864,2021-06-17,97,8,1
Honda,Honda Shuttle Hybrid 1.5 G (A),75800,904,1,65000.0,15297,2018-02-26,57,4,9
Honda,Honda Freed Hybrid 1.5 G 7-Seater (A),108800,1098,1,41000.0,17034,2019-07-03,69,5,9
Honda,Honda Fit 1.3 G F-Package (A),91800,784,2,23000.0,11998,2020-12-10,89,7,5
Honda,Honda Civic 1.6 Vti (A),67800,1041,1,85000.0,15663,2017-09-01,43,3,7
Volkswagen,Volkswagen Sharan 2.0 Tdi Dsg (A),122800,1239,2,35200.0,17600,2019-02-27,69,5,9
Bmw,Bmw X4 Xdrive20I X Line (A),185800,1807,2,51000.0,25875,2019-05-30,72,6,0
Mercedes-Benz,Mercedes-Benz Cla-Class Cla180 Progressive (A),170800,1458,2,14090.0,17832,2021-11-24,102,8,6
Volkswagen,Volkswagen Touran 1.4 Comfort Tsi Dsg (A),121700,1071,1,56200.0,15818,2020-02-27,81,6,9
Honda,Honda Shuttle 1.5 G Honda Sensing (A),116800,997,1,13000.0,12663,2022-04-20,107,8,11
Suzuki,Suzuki Swift 1.5 Gl (A),57588,589,5,130000.0,10140,2009-12-01,68,5,8
Bmw,Bmw 4 Series Convertible 428I Luxury (A),66000,2921,3,,27425,2014-07-14,14,1,2
Volkswagen,Volkswagen Sharan Highline 2.0 Tsi (A),107800,1211,3,58787.0,16969,2018-06-28,61,5,1
Audi,Audi A3 Sedan 1.4 Tfsi S-Tronic Ambiente (A),33700,1171,2,,16971,2014-11-26,18,1,6
Volkswagen,Volkswagen Polo 1.4 Dsg (A),27100,664,2,104000.0,12303,2010-07-23,26,2,2
Hyundai,Hyundai I30 1.6A,16800,617,5,150000.0,11419,2009-10-29,17,1,5
Combo,Combo 1.6A,31800,469,1,,8182,2017-07-03,45,3,9
Bmw,Bmw M Series 3.0 Competition 6Mt Nav,335000,2859,1,,39575,2020-09-28,88,7,4
Bentley,Bentley Bentayga Bentayga 4.0 V8 (A),1208000,10308,1,14000.0,113246,2022-12-05,108,9,0
Audi,Audi Q2 1.0 Tfsi S Tronic,106800,1064,2,56445.0,16091,2019-03-19,70,5,10
Mercedes-Benz,Mercedes-Benz A-Class A200 (A),132800,1207,2,52150.0,17459,2019-02-12,78,6,6
Bmw,Bmw X1 Sdrive 18I (A),104800,1289,1,54990.0,19127,2017-12-21,55,4,7
B.M.W.,B.M.W. 318I Led Nav,118800,1246,1,68557.0,17886,2018-11-30,66,5,6
Audi,Audi A4 1.8 T (A),29800,539,0,91000.0,0,2023-03-24,0,0,0
Audi,Audi A4 Sedan 2.0 Tfsi S Tronic (Nav),129800,1248,1,68208.0,17975,2019-06-28,73,6,1
Jaguar,Jaguar Xe 2.0 (A),105800,1223,1,52019.0,16907,2018-04-30,59,4,11
Mitsubishi,Mitsubishi Space Star 1.2L Style (A),55800,761,1,103000.0,12904,2017-06-28,49,4,1
Audi,"Audi Q3 1.4 Tfsi S Tronic [17 Rim] (A)""",176800,1509,1,28000.0,18739,2021-12-13,103,8,7
Mitsubishi,Mitsubishi Asx 2.0 Cvt Abs D/Airbag 2Wd,61800,991,2,48945.0,15190,2016-10-19,41,3,5
Mazda,Mazda 2 Hatchback 1.5 V (A),91800,784,1,30642.0,11186,2020-09-30,88,7,4
Audi,Audi A3 Sedan 1.0 Tfsi S Tronic (A),84800,1027,2,103234.0,15132,2018-02-02,56,4,8
Peugeot,Peugeot 3008 1.6 Puretech Eat8 Active (A),89800,994,2,82217.0,15064,2018-12-07,62,5,2
Mazda,Mazda 2 Sedan 1.5 Standard (A),56800,748,1,87000.0,12223,2017-08-23,51,4,3
Honda,Honda Odyssey 2.4 Exv-S (A),133800,1385,2,74700.0,20542,2019-07-01,67,5,7
Toyota,Toyota Corolla Altis 1.6 Standard (A),118800,1014,1,18500.0,13265,2021-05-08,98,8,2
Volkswagen,Volkswagen Golf 1.4 Tsi Sunroof (A),29800,1319,3,99700.0,20769,2014-01-08,14,1,2
Audi,Audi A3 Sportback 1.4 Tfsi S-Tronic Ambiente (A),21800,1899,1,119500.0,24773,2013-12-18,84,7,0
Porsche,Porsche Cayenne 3.6 (A),148800,1270,3,153000.0,17720,2012-04-05,100,8,4
Toyota,Toyota Corolla Altis 1.6 Classic (A),55800,895,4,120000.0,13706,2016-10-26,41,3,5
Toyota,Toyota Vellfire Hybrid 2.5 X 7-Seater (A),246800,2318,2,71150.0,34308,2019-04-09,75,6,3
Mazda,Mazda 3 Sedan 1.5 Standard (A),72800,830,2,72000.0,12929,2018-05-18,60,5,0
Honda,Honda Vezel 1.5 X (A),63800,921,1,111000.0,15055,2017-03-16,46,3,10
Honda,Honda Vezel 1.5A Rs,69800,970,2,73434.0,14446,2017-09-06,48,4,0
Mercedes,Mercedes Benz C200 Kompressor A,72800,717,4,,12178,2009-08-14,71,5,11
Mazda,Mazda Mx-5 2.0 (A),103388,1493,5,,21088,2017-03-30,46,3,10
Nissan,Nissan Serena E-Power Hybrid Highway Star (A),190800,1629,1,13000.0,19597,2022-12-08,111,9,3
Jaguar,Jaguar Xf 3.0 V6 Luxury (A),22000,974,4,,18545,2009-07-17,14,1,2
Toyota,Toyota Proace Electric 75 Kwh (A),142888,1220,1,,14521,2023-08-02,116,9,8
Mitsubishi,Mitsubishi Triton L200 2.5 Double-Cab (M),25800,1444,3,,16734,2014-08-05,132,11,0
Nissan,Nissan X-Trail 2.0 (A),53488,1078,1,88828.0,15468,2016-05-02,32,2,8
Audi,Audi A5 Coupé 2.0 Tfsi Quattro S-Tronic (A),38200,935,5,,17150,2010-06-08,26,2,2
Lexus,Lexus Nx 300 2.0 Executive (A),152800,1523,2,,21688,2019-10-04,70,5,10
Nissan,Nissan Note E-Power Hybrid Premium (A),107800,920,1,,12704,2021-07-22,98,8,2
Mercedes-Benz,Mercedes-Benz C-Class Saloon C180 (A),116800,2110,1,92000.0,11680,2013-03-27,0,0,0
Nissan,Nissan Note E-Power Hybrid Premium (A),106800,912,1,,12940,2021-04-28,95,7,11
Mitsubishi,Mitsubishi Attrage 1.2A,62800,686,2,63000.0,11341,2018-05-09,63,5,3
Nissan,Nissan Nv200 1.5 Panel Van (M),26800,556,2,,10115,2015-12-17,31,2,7
Toyota,Toyota Sienta 1.5G Cvt,129800,1108,1,180.0,13325,2022-09-19,112,9,4
Honda,Honda Fit 1.3 Honda Sensing (A),97800,835,1,13000.0,11360,2021-01-10,100,8,4
Mitsubishi,Mitsubishi Attrage 1.2A,57800,700,2,,11808,2018-01-17,56,4,8
Subaru,Subaru Impreza 4D 1.6I-S (A),62800,889,3,,14156,2017-04-27,47,3,11
Land,Land Rover Discovery Sport 2.0 Si4 7-Seater (A),101800,2323,2,,25498,2015-09-25,28,2,4
Mercedes,Mercedes Benz B180 Style (R16 Led),62800,1265,3,,19018,2016-01-18,32,2,8
Mercedes-Benz,Mercedes-Benz Glc-Class Glc300 Amg Line 4Matic (A),248800,2123,2,40000.0,25614,2021-04-05,95,7,11
Bmw,Bmw 6 Series Cabriolet 650I (A),158800,1356,3,54000.0,17845,2012-04-26,106,8,10
Honda,Honda Shuttle 1.5G Cvt Sensing,116800,997,1,2500.0,12591,2022-04-20,107,8,11
Land,Land Rover Discovery Sport 2.0 Si4 Se 7-Seater (A),109800,1555,2,109200.0,20748,2017-04-21,47,3,11
Lexus,Lexus Es 250 2.5 Executive (A),90800,1489,1,105000.0,20396,2016-07-10,40,3,4
Mazda,Mazda Rx-8 1.3 (M),88400,915,4,,15709,2008-12-24,67,5,7
Honda,Honda Hrv 1.5 Lx Cvt,78800,954,1,76918.0,14342,2018-09-02,56,4,8
Mercedes-Benz,Mercedes-Benz Glc-Class Coupe Mild Hybrid Glc300 Amg Line 4Matic Premium (A),255800,2183,1,37000.0,27027,2021-05-20,96,8,0
Honda,Honda Shuttle Hybrid 1.5 G (A),102800,934,2,40000.0,14557,2019-11-26,78,6,6
Honda,Honda Civic 1.5 Vtec Turbo (A),115800,1076,1,53000.0,15898,2019-09-24,76,6,4
Nissan,Nissan Nv350 Panel Van 2.5 5At 5Dr Euro V,30800,783,3,,14260,2015-06-23,25,2,1
Toyota,Toyota Corolla 1.6A,49800,448,6,175500.0,7489,2000-01-18,79,6,7
Porsche,Porsche Macan Pdk 2.0 (A),157800,2587,2,109228.0,34358,2016-09-22,40,3,4
Mercedes-Benz,Mercedes-Benz C-Class Coupé C200 Amg Line (A),268800,2294,1,10000.0,26226,2022-05-20,108,9,0
Mazda,Mazda 2 Hatchback 1.5 Standard (A),77800,816,3,39000.0,12769,2018-11-21,66,5,6
Mercedes-Benz,Mercedes-Benz S-Class S320L (A),299800,2753,2,50000.0,35704,2019-01-11,77,6,5
Mitsubishi,Mitsubishi Eclipse Cross 1.5 Cvt Sunroof,128800,1100,1,35400.0,15068,2020-06-11,89,7,5
Byd,Byd T3 Electric 50.3 Kwh (A),120800,1031,1,,12366,2023-01-31,116,9,8
